temp,n,I0,Rs
295.479,1.86,4.091e-09,1.437e+00
295.287,1.79,2.577e-09,3.737e+00
295.108,1.79,2.502e-09,3.786e+00
285.413,1.85,1.420e-09,1.410e+00
285.057,1.85,1.402e-09,1.291e+00
284.719,1.86,1.388e-09,1.151e+00
275.387,1.85,5.267e-10,9.379e-01
275.018,1.85,5.158e-10,8.189e-01
274.662,1.76,2.428e-10,3.715e+00
265.288,1.85,1.799e-10,5.248e-01
264.925,1.93,3.152e-10,8.165e-24
264.561,1.84,1.464e-10,9.866e-01
255.292,1.89,7.423e-11,7.879e-18
254.960,1.84,4.877e-11,4.927e-01
254.616,1.92,8.936e-11,1.721e-22
245.244,1.88,2.125e-11,2.133e-16
244.935,1.71,3.775e-12,3.661e+00
244.626,1.88,2.026e-11,3.190e-19
235.343,1.87,5.291e-12,5.724e-20
235.060,1.87,4.826e-12,3.954e-17
234.771,1.80,2.469e-12,6.053e-01
225.353,1.67,1.211e-13,3.474e+00
225.095,1.86,1.057e-12,4.782e-22
224.829,1.67,1.091e-13,3.464e+00
215.276,1.85,2.037e-13,7.987e-08
215.018,1.84,1.903e-13,8.451e-08
214.770,1.85,1.933e-13,9.642e-08
205.332,1.84,3.564e-14,1.898e-07
205.097,1.84,3.423e-14,1.928e-07
204.871,1.61,1.240e-15,3.169e+00
195.420,1.59,1.206e-16,2.815e+00
195.209,1.88,9.382e-15,2.917e-07
194.984,1.88,9.484e-15,2.392e-07
185.309,1.88,1.287e-15,3.624e-07
185.105,1.89,1.398e-15,2.168e-07
184.902,1.54,3.462e-18,3.192e+00
175.396,1.51,1.431e-19,3.219e+00
175.209,1.95,3.930e-16,4.669e-07
175.014,1.96,4.470e-16,5.023e-07
165.332,2.22,1.732e-15,6.816e-07
165.150,1.93,2.692e-17,1.573e-06
164.972,2.29,3.300e-15,6.430e-07
155.490,1.37,3.111e-24,4.206e+00
155.321,2.06,1.566e-17,4.269e-06
155.149,1.89,1.568e-18,7.842e+00
145.381,2.14,3.312e-18,2.035e-04
145.219,1.43,2.924e-25,3.677e+00
145.059,2.14,2.893e-18,2.076e-04
135.381,1.38,3.240e-28,2.282e+00
